date,session_rpe,duration_min,training_load,acute_load_7d,chronic_load_28d,acwr,training_monotony,training_strain
2026-02-01,6,50,300,,,,,
2026-02-02,2,20,40,,,,,
2026-02-03,4,70,280,,,,,
2026-02-04,3,85,255,219,,,2.09,458
2026-02-05,7,61,427,260,,,2.08,541
2026-02-06,5,68,340,274,,,2.32,636
2026-02-07,7,82,574,317,,,2.09,663
2026-02-08,5,50,250,309,,,2.02,624
2026-02-09,1,20,20,307,,,1.93,593
2026-02-10,7,70,490,337,,,1.98,667
2026-02-11,8,86,688,398,,,1.95,776
2026-02-12,7,70,490,407,,,1.97,802
2026-02-13,5,70,350,409,,,1.98,810
2026-02-14,8,73,584,410,363,1.13,1.98,812
2026-02-15,6,50,300,417,359,1.16,2.06,859
2026-02-16,3,20,60,423,340,1.24,2.21,935
2026-02-17,6,75,450,417,347,1.2,2.19,913
2026-02-18,2,61,122,337,334,1.01,1.89,637
2026-02-19,5,79,395,323,338,0.96,1.91,617
2026-02-20,6,100,600,359,351,1.02,1.84,661
2026-02-21,7,94,658,369,365,1.01,1.77,653
2026-02-22,7,50,350,376,365,1.03,1.82,684
2026-02-23,1,20,20,371,350,1.06,1.71,634
2026-02-24,9,47,423,367,353,1.04,1.71,628
2026-02-25,8,41,328,396,352,1.12,2.06,816
2026-02-26,0,0,0,396,353,1.12,2.06,816
2026-02-27,7,86,602,397,363,1.09,2.06,818
2026-02-28,4,75,300,346,360,0.96,2.14,740
2026-03-01,4,50,200,324,357,0.91,1.91,619
2026-03-02,2,20,40,327,357,0.92,1.99,651
2026-03-03,5,86,430,328,362,0.91,1.99,653
2026-03-04,4,90,360,333,366,0.91,2.01,669
2026-03-05,5,61,305,320,362,0.88,1.96,627
2026-03-06,8,70,560,314,369,0.85,2.05,644
2026-03-07,3,73,219,302,357,0.85,1.93,583
2026-03-08,7,50,350,323,360,0.9,2.13,688
2026-03-09,2,20,40,323,361,0.89,2.13,688
2026-03-10,8,102,816,379,373,1.02,1.64,622
2026-03-11,8,81,648,420,371,1.13,1.69,710
2026-03-12,7,81,567,457,374,1.22,1.84,841
2026-03-13,5,97,485,446,379,1.18,1.82,812
2026-03-14,5,59,295,457,369,1.24,1.94,887
2026-03-15,5,50,250,443,367,1.21,1.81,802
2026-03-16,1,20,20,440,365,1.21,1.76,774
2026-03-17,6,77,462,390,366,1.07,1.96,764
2026-03-18,4,74,296,339,372,0.91,2.0,678
2026-03-19,5,57,285,299,368,0.81,2.1,628
2026-03-20,7,44,308,274,358,0.77,2.26,619
2026-03-21,5,56,280,272,344,0.79,2.25,612
2026-03-22,8,50,400,293,346,0.85,2.29,671
2026-03-23,1,20,20,293,346,0.85,2.29,671
2026-03-24,7,78,546,305,350,0.87,2.09,637
2026-03-25,6,73,438,325,354,0.92,2.12,689
2026-03-26,6,49,294,327,351,0.93,2.14,700
2026-03-27,8,60,480,351,346,1.01,2.17,762
2026-03-28,0,0,0,386,354,1.09,2.29,884
2026-03-29,7,50,350,379,360,1.05,2.24,849
2026-03-30,2,20,40,382,360,1.06,2.34,894
2026-03-31,5,56,280,344,354,0.97,2.28,784
2026-04-01,8,59,472,349,358,0.97,2.26,789
2026-04-02,7,82,574,389,368,1.06,2.28,887
2026-04-03,5,74,370,373,361,1.03,2.24,836
2026-04-04,6,88,528,373,372,1.0,2.24,836
2026-04-05,6,50,300,366,370,0.99,2.17,794
2026-04-06,2,20,40,366,370,0.99,2.17,794
2026-04-07,7,63,441,389,357,1.09,2.34,910
2026-04-08,7,73,511,395,352,1.12,2.33,920
2026-04-09,7,65,455,378,348,1.09,2.42,915
2026-04-10,8,63,504,397,349,1.14,2.45,973
2026-04-11,7,84,588,406,359,1.13,2.38,966
2026-04-12,6,50,300,406,361,1.12,2.38,966
2026-04-13,1,20,20,403,361,1.12,2.28,919
2026-04-14,6,60,360,391,357,1.1,2.22,868
2026-04-15,9,49,441,381,362,1.05,2.23,850
2026-04-16,6,56,336,364,364,1.0,2.16,786
2026-04-17,6,78,468,359,370,0.97,2.18,783
2026-04-18,6,57,342,324,372,0.87,2.38,771
2026-04-19,7,50,350,331,370,0.89,2.44,808
2026-04-20,0,0,0,331,370,0.89,2.44,808
2026-04-21,5,87,435,342,366,0.93,2.43,831
2026-04-22,5,69,345,328,363,0.9,2.44,800
2026-04-23,4,57,228,313,361,0.87,2.25,704
2026-04-24,6,92,552,325,363,0.9,2.1,682
2026-04-25,10,74,740,381,371,1.03,1.79,682
2026-04-26,5,50,250,367,368,1.0,1.69,620
2026-04-27,1,20,20,367,367,1.0,1.69,620
2026-04-28,9,77,693,404,382,1.06,1.64,663
2026-04-29,7,75,525,430,383,1.12,1.73,744
2026-04-30,6,55,330,444,375,1.18,1.86,826
2026-05-01,5,59,295,408,372,1.1,1.71,698
